source_id,global_index,image_url,review_count,valid_count,participant_followup_count,max_anomaly_score,mean_anomaly_score,roles,buckets,evidence_axes,axis_match_count,review_tier,priority_candidate,focus_rendered,quality_tier,quality_score,n_obs,amplitude_completed,rebrightening_completed,nonmono_completed,peak_snr,latest_reason
AT2019gfs,810,http://49.233.162.81:8788/all_sample_gp/AT2019gfs_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.55,153,0.37,0,0.22,1.8,两波段微弱起伏无突增或衰减；可作对照
AT2019gik,814,http://49.233.162.81:8788/all_sample_gp/AT2019gik_sample_gp.png,1,1,0,1,1.0,"{""unsure"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.93,116,1.32,2,0.38,21.0,观测点很少，GP线有起伏但不确定
AT2019gio,816,http://49.233.162.81:8788/all_sample_gp/AT2019gio_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.62,615,0.49,4,0.63,4.4,两波段微弱起伏无突增或衰减；可作对照
AT2019gkg,817,http://49.233.162.81:8788/all_sample_gp/AT2019gkg_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.75,81,1.16,3,0.42,17.1,两波段微弱起伏无突增或衰减；可作对照
AT2019glb,818,http://49.233.162.81:8788/all_sample_gp/AT2019glb_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.58,72,0.26,0,0.43,2.6,两波段微弱起伏无突增或衰减；可作对照
AT2019glj,819,http://49.233.162.81:8788/all_sample_gp/AT2019glj_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.88,72,0.84,1,0.31,13.4,两波段微弱起伏无突增或衰减；可作对照
AT2019gls,820,http://49.233.162.81:8788/all_sample_gp/AT2019gls_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.61,79,0.38,0,0.4,3.9,两波段微弱起伏无突增或衰减；可作对照
AT2019gnm,824,http://49.233.162.81:8788/all_sample_gp/AT2019gnm_sample_gp.png,1,1,0,1,1.0,"{""unsure"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.74,201,0.37,0,0.34,4.3,观测点很少，GP线有起伏但不确定
AT2019gpp,829,http://49.233.162.81:8788/all_sample_gp/AT2019gpp_sample_gp.png,1,1,0,1,1.0,"{""unsure"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.63,45,0.72,4,0.44,4.6,观测点很少，GP线有起伏但不确定
AT2019gqz,831,http://49.233.162.81:8788/all_sample_gp/AT2019gqz_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.57,495,0.11,0,0.43,2.1,缺乏突增或衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019grt,832,http://49.233.162.81:8788/all_sample_gp/AT2019grt_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.66,489,0.72,6,0.49,7.0,缺乏突增或辐射衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019gsm,833,http://49.233.162.81:8788/all_sample_gp/AT2019gsm_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.66,656,0.13,0,0.52,2.4,SNR偏低属低质量数据；缺乏突增或衰减结构；可作普通对照
AT2019gst,834,http://49.233.162.81:8788/all_sample_gp/AT2019gst_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.55,463,0.88,0,0.32,1.8,数据质量偏低信噪比不足，两波段微弱变化未显示明显能量释放或冷却特征；形态普通；可作对照
AT2019gsv,835,http://49.233.162.81:8788/all_sample_gp/AT2019gsv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.58,375,0.34,1,0.5,2.5,两波段微弱起伏无突增或衰减；可作对照
AT2019gtk,839,http://49.233.162.81:8788/all_sample_gp/AT2019gtk_sample_gp.png,1,1,0,1,1.0,"{""unsure"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.69,103,0.33,0,0.53,3.1,观测点很少，GP线有起伏但不确定
AT2019gtw,841,http://49.233.162.81:8788/all_sample_gp/AT2019gtw_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.84,251,0.36,1,0.5,9.3,两波段微弱起伏无突增或衰减；可作对照
AT2019gux,844,http://49.233.162.81:8788/all_sample_gp/AT2019gux_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.61,75,0.34,0,0.36,3.7,两波段微弱起伏无突增或衰减；可作对照
AT2019gvu,846,http://49.233.162.81:8788/all_sample_gp/AT2019gvu_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.6,334,0.37,2,0.49,3.3,两波段微弱起伏无突增或衰减；可作对照
AT2019gvv,847,http://49.233.162.81:8788/all_sample_gp/AT2019gvv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.64,303,0.37,2,0.49,5.5,两波段微弱起伏无突增或衰减；可作对照
AT2019gxe,849,http://49.233.162.81:8788/all_sample_gp/AT2019gxe_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.64,372,0.25,0,0.5,3.7,两波段微弱起伏无突增或衰减；可作对照
AT2019gxl,850,http://49.233.162.81:8788/all_sample_gp/AT2019gxl_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.81,343,0.9,5,0.38,7.9,两波段微弱起伏无突增或衰减；可作对照
AT2019har,854,http://49.233.162.81:8788/all_sample_gp/AT2019har_sample_gp.png,1,1,0,1,1.0,"{""unsure"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.67,43,0.33,0,0.2,3.7,观测点很少，GP线有起伏但不确定
AT2019heq,857,http://49.233.162.81:8788/all_sample_gp/AT2019heq_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,C_imputed_usable,0.63,44,0.34,0,0.39,7.7,两波段微弱起伏无突增或衰减；可作对照
AT2019hfb,858,http://49.233.162.81:8788/all_sample_gp/AT2019hfb_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.62,425,0.26,0,0.32,4.5,两波段微弱起伏无突增或衰减；可作对照
AT2019hff,859,http://49.233.162.81:8788/all_sample_gp/AT2019hff_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.63,458,0.3,1,0.42,4.7,两波段微弱起伏无突增或衰减；可作对照
AT2019hfh,860,http://49.233.162.81:8788/all_sample_gp/AT2019hfh_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.56,685,0.57,3,0.7,1.9,两波段微弱起伏无突增或衰减；可作对照
AT2019hfk,861,http://49.233.162.81:8788/all_sample_gp/AT2019hfk_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.65,113,0.59,0,0.41,6.0,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hfl,862,http://49.233.162.81:8788/all_sample_gp/AT2019hfl_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.61,90,0.8,2,0.52,3.7,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hfv,863,http://49.233.162.81:8788/all_sample_gp/AT2019hfv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,702,0.94,7,0.68,2.6,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hfy,864,http://49.233.162.81:8788/all_sample_gp/AT2019hfy_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.55,71,0.19,0,0.37,2.4,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hgk,865,http://49.233.162.81:8788/all_sample_gp/AT2019hgk_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.56,652,0.15,0,0.35,2.0,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hgm,866,http://49.233.162.81:8788/all_sample_gp/AT2019hgm_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.84,956,0.46,7,0.44,11.1,两波段微弱起伏无突增或衰减；可作对照
AT2019hjh,871,http://49.233.162.81:8788/all_sample_gp/AT2019hjh_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.55,535,0.11,0,0.0,1.6,两波段微弱起伏无突增或衰减；可作对照
AT2019hop,875,http://49.233.162.81:8788/all_sample_gp/AT2019hop_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.79,54,0.71,1,0.36,6.2,两波段微弱起伏无突增或衰减；可作对照
AT2019hot,876,http://49.233.162.81:8788/all_sample_gp/AT2019hot_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.55,877,0.35,0,0.39,1.6,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hqd,877,http://49.233.162.81:8788/all_sample_gp/AT2019hqd_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.72,214,0.64,1,0.46,7.9,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hqp,878,http://49.233.162.81:8788/all_sample_gp/AT2019hqp_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,C_imputed_usable,0.46,272,0.02,0,0.2,0.1,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hul,879,http://49.233.162.81:8788/all_sample_gp/AT2019hul_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,C_imputed_usable,0.49,74,0.05,0,0.0,0.4,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hve,880,http://49.233.162.81:8788/all_sample_gp/AT2019hve_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.88,44,1.09,7,0.62,9.5,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019hvn,881,http://49.233.162.81:8788/all_sample_gp/AT2019hvn_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.53,112,0.21,0,0.45,1.1,缺乏突增或衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019hvr,882,http://49.233.162.81:8788/all_sample_gp/AT2019hvr_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.62,102,0.46,3,0.31,4.3,缺乏突增或辐射衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019hyw,883,http://49.233.162.81:8788/all_sample_gp/AT2019hyw_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.89,45,1.39,7,0.38,10.0,SNR偏低属低质量数据；缺乏突增或衰减结构；可作普通对照
AT2019ibz,885,http://49.233.162.81:8788/all_sample_gp/AT2019ibz_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.6,165,0.17,2,0.48,3.3,两波段微弱起伏无突增或衰减；可作对照
AT2019icc,886,http://49.233.162.81:8788/all_sample_gp/AT2019icc_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.61,70,0.17,0,0.47,3.7,两波段微弱起伏无突增或衰减；可作对照
AT2019icz,889,http://49.233.162.81:8788/all_sample_gp/AT2019icz_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.73,363,0.71,1,0.36,9.5,两波段微弱起伏无突增或衰减；可作对照
AT2019idm,891,http://49.233.162.81:8788/all_sample_gp/AT2019idm_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""nonmonotonic"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.63,152,0.33,5,0.45,5.0,两波段微弱起伏无突增或衰减；可作对照
AT2019idu,892,http://49.233.162.81:8788/all_sample_gp/AT2019idu_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.68,385,1.37,0,0.4,8.8,两波段微弱起伏无突增或衰减；可作对照
AT2019iec,893,http://49.233.162.81:8788/all_sample_gp/AT2019iec_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,C_imputed_usable,0.6,541,0.61,1,0.42,5.7,两波段微弱起伏无突增或衰减；可作对照
AT2019ihn,896,http://49.233.162.81:8788/all_sample_gp/AT2019ihn_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.61,409,0.28,1,0.3,3.8,两波段在观测末期有微弱起伏但整体幅度很小约0.09等，缺乏突增或衰减结构；SNR偏低属低质量数据；可作普通对照参考。数据来源于138个观测点，z=0.13593。XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
AT2019iho,897,http://49.233.162.81:8788/all_sample_gp/AT2019iho_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.66,770,0.53,4,0.49,6.6,
AT2019ihv,898,http://49.233.162.81:8788/all_sample_gp/AT2019ihv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.68,221,0.36,1,0.44,11.3,这是第一个天体
AT2019iic,899,http://49.233.162.81:8788/all_sample_gp/AT2019iic_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.72,594,0.33,1,0.46,2.9,观测显示SN Ia特征但被忽略；可作对照
AT2019iju,900,http://49.233.162.81:8788/all_sample_gp/AT2019iju_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.59,198,0.09,0,0.3,3.0,两波段微弱起伏，无突增或衰减结构；可作对照。
AT2019iki,901,http://49.233.162.81:8788/all_sample_gp/AT2019iki_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.69,337,1.74,0,0.34,12.2,两波段微弱起伏无突增或衰减；可作对照
AT2019iko,902,http://49.233.162.81:8788/all_sample_gp/AT2019iko_sample_gp.png,1,1,0,1,1.0,"{""unknown_role"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.6,65,0.33,0,0.7,3.2,两波段微弱起伏无突增或衰减；可作对照
AT2019ikr,903,http://49.233.162.81:8788/all_sample_gp/AT2019ikr_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.65,180,0.35,0,0.09,6.2,两波段微弱起伏无突增或衰减；可作对照
AT2019ilf,904,http://49.233.162.81:8788/all_sample_gp/AT2019ilf_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.69,98,0.44,1,0.36,8.2,两波段微弱起伏无突增或衰减；可作对照
AT2019ilg,905,http://49.233.162.81:8788/all_sample_gp/AT2019ilg_sample_gp.png,1,1,0,1,1.0,"{""TYPICAL"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.75,200,0.34,2,0.44,3.8,两波段微弱起伏无突增或衰减；可作对照
AT2019ing,911,http://49.233.162.81:8788/all_sample_gp/AT2019ing_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.86,76,0.76,2,0.65,12.1,缺乏突增或衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019inr,912,http://49.233.162.81:8788/all_sample_gp/AT2019inr_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.72,56,0.91,2,0.4,8.2,缺乏突增或辐射衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019int,913,http://49.233.162.81:8788/all_sample_gp/AT2019int_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.54,118,0.13,0,0.33,1.5,SNR偏低属低质量数据；缺乏突增或衰减结构；可作普通对照
AT2019iof,914,http://49.233.162.81:8788/all_sample_gp/AT2019iof_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.58,415,0.4,0,0.58,2.8,数据质量偏低信噪比不足，两波段微弱变化未显示明显能量释放或冷却特征；形态普通；可作对照
AT2019ion,915,http://49.233.162.81:8788/all_sample_gp/AT2019ion_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.65,246,0.74,0,0.71,6.3,两波段微弱起伏无突增或衰减；可作对照
AT2019ioo,916,http://49.233.162.81:8788/all_sample_gp/AT2019ioo_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.59,218,0.71,7,0.45,3.1,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019iou,917,http://49.233.162.81:8788/all_sample_gp/AT2019iou_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,61,0.43,0,0.58,2.7,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019ip,918,http://49.233.162.81:8788/all_sample_gp/AT2019ip_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.53,141,0.07,0,0.51,1.1,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019ipo,919,http://49.233.162.81:8788/all_sample_gp/AT2019ipo_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.69,177,0.29,4,0.47,9.3,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019iqy,920,http://49.233.162.81:8788/all_sample_gp/AT2019iqy_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.65,208,0.32,0,0.18,5.9,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019iuv,926,http://49.233.162.81:8788/all_sample_gp/AT2019iuv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.65,470,0.62,18,0.51,6.3,缺乏突增或衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019ivq,927,http://49.233.162.81:8788/all_sample_gp/AT2019ivq_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.58,335,0.39,36,0.55,2.7,缺乏突增或辐射衰减结构；SNR偏低属低质量数据；可作普通对照
AT2019iwr,929,http://49.233.162.81:8788/all_sample_gp/AT2019iwr_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.61,114,0.67,14,0.56,3.9,数据质量偏低信噪比不足，两波段微弱变化未显示明显能量释放或冷却特征；形态普通；可作对照
AT2019ixm,930,http://49.233.162.81:8788/all_sample_gp/AT2019ixm_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.58,611,0.41,0,0.39,2.7,两波段微弱起伏无突增或衰减；可作对照
AT2019ixn,931,http://49.233.162.81:8788/all_sample_gp/AT2019ixn_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.67,193,0.84,0,0.4,4.7,形态普通
AT2019jbm,937,http://49.233.162.81:8788/all_sample_gp/AT2019jbm_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.56,40,0.21,0,0.47,2.3,形态普通
AT2019jcl,939,http://49.233.162.81:8788/all_sample_gp/AT2019jcl_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.54,115,0.24,6,0.33,1.4,形态普通
AT2019jed,941,http://49.233.162.81:8788/all_sample_gp/AT2019jed_sample_gp.png,16,1,0,1,1.0,"{""typical"": 1}","{""invalid"": 15, ""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.66,108,0.55,1,0.42,6.5,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jer,942,http://49.233.162.81:8788/all_sample_gp/AT2019jer_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.61,146,0.3,0,0.43,3.6,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jfb,943,http://49.233.162.81:8788/all_sample_gp/AT2019jfb_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.73,246,0.53,2,0.55,3.9,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jfe,944,http://49.233.162.81:8788/all_sample_gp/AT2019jfe_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.61,186,0.69,2,0.45,3.6,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jff,945,http://49.233.162.81:8788/all_sample_gp/AT2019jff_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.57,241,0.32,3,0.42,2.2,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jid,951,http://49.233.162.81:8788/all_sample_gp/AT2019jid_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.55,125,0.2,0,0.56,1.6,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jit,952,http://49.233.162.81:8788/all_sample_gp/AT2019jit_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.65,516,1.25,40,0.51,6.1,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jj,953,http://49.233.162.81:8788/all_sample_gp/AT2019jj_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.52,345,0.09,0,0.45,0.9,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
AT2019jlf,954,http://49.233.162.81:8788/all_sample_gp/AT2019jlf_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.66,161,0.5,2,0.42,6.9,两波段长期平稳分层没有峰尾再亮或漂移，缺少爆发和长期变源证据，可作为普通对照
